Model,Accuracy,Precision,Recall,ROC-AUC
Logistic Regression,0.6433727981518914,0.47368421052631576,0.08088235294117647,0.5602367566052772
Random Forest,0.6147848686110309,0.4098360655737705,0.2042483660130719,0.5374058213429781
XGBoost,0.5677158533063817,0.3619817997977755,0.29248366013071897,0.5092500153254692
